rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
141,2,1,0,0,2,2,1,2,2,2,2,2,1,2100221222221,base_core,141,1,14100,-7.107088,ベース190口。Hotでもまず1口だけ置く。
142,2,1,0,0,0,2,0,2,2,1,2,2,1,2100020221221,base_core,142,1,14200,-7.108418,ベース190口。Hotでもまず1口だけ置く。
143,2,1,0,0,0,2,0,2,2,0,2,2,1,2100020220221,base_core,143,1,14300,-7.115273,ベース190口。Hotでもまず1口だけ置く。
144,2,0,2,0,0,2,0,2,2,2,2,2,1,2020020222221,base_core,144,1,14400,-7.115578,ベース190口。Hotでもまず1口だけ置く。
145,2,1,0,2,2,2,0,2,2,2,2,2,1,2102220222221,base_core,145,1,14500,-7.124616,ベース190口。Hotでもまず1口だけ置く。
146,2,0,2,1,0,2,2,2,2,1,2,2,1,2021022221221,base_core,146,1,14600,-7.131817,ベース190口。Hotでもまず1口だけ置く。
147,2,0,2,1,0,2,2,2,2,0,2,2,1,2021022220221,base_core,147,1,14700,-7.138672,ベース190口。Hotでもまず1口だけ置く。
148,2,1,2,0,2,2,0,2,2,1,2,2,0,2120220221220,base_core,148,1,14800,-7.144679,ベース190口。Hotでもまず1口だけ置く。
149,2,1,2,0,2,2,0,2,2,0,2,2,0,2120220220220,base_core,149,1,14900,-7.151534,ベース190口。Hotでもまず1口だけ置く。
150,2,1,0,2,0,2,2,2,2,1,2,2,1,2102022221221,base_core,150,1,15000,-7.153025,ベース190口。Hotでもまず1口だけ置く。
151,2,1,2,2,0,2,1,0,2,1,2,2,1,2122021021221,base_core,151,1,15100,-7.158670,ベース190口。Hotでもまず1口だけ置く。
152,2,1,0,2,0,2,2,2,2,0,2,2,1,2102022220221,base_core,152,1,15200,-7.159880,ベース190口。Hotでもまず1口だけ置く。
153,2,0,2,2,0,2,2,2,2,2,2,2,1,2022022222221,base_core,153,1,15300,-7.160185,ベース190口。Hotでもまず1口だけ置く。
154,2,1,2,2,0,2,1,0,2,0,2,2,1,2122021020221,base_core,154,1,15400,-7.165525,ベース190口。Hotでもまず1口だけ置く。
155,2,1,0,0,2,2,0,2,2,2,2,2,1,2100220222221,base_core,155,1,15500,-7.170583,ベース190口。Hotでもまず1口だけ置く。
156,2,1,0,1,2,2,2,2,2,1,2,2,1,2101222221221,base_core,156,1,15600,-7.186822,ベース190口。Hotでもまず1口だけ置く。
157,2,1,2,2,2,2,2,2,2,1,2,2,0,2122222221220,base_core,157,1,15700,-7.189286,ベース190口。Hotでもまず1口だけ置く。
158,2,1,2,1,2,2,1,0,2,1,2,2,1,2121221021221,base_core,158,1,15800,-7.192468,ベース190口。Hotでもまず1口だけ置く。
159,2,1,0,1,2,2,2,2,2,0,2,2,1,2101222220221,base_core,159,1,15900,-7.193677,ベース190口。Hotでもまず1口だけ置く。
160,2,0,2,1,2,2,2,2,2,2,2,2,1,2021222222221,base_core,160,1,16000,-7.193982,ベース190口。Hotでもまず1口だけ置く。
161,2,1,2,2,2,2,2,2,2,0,2,2,0,2122222220220,base_core,161,1,16100,-7.196141,ベース190口。Hotでもまず1口だけ置く。
162,2,1,0,0,0,2,2,2,2,1,2,2,1,2100022221221,base_core,162,1,16200,-7.198992,ベース190口。Hotでもまず1口だけ置く。
163,2,1,2,1,2,2,1,0,2,0,2,2,1,2121221020221,base_core,163,1,16300,-7.199323,ベース190口。Hotでもまず1口だけ置く。
164,2,1,2,0,0,2,1,0,2,1,2,2,1,2120021021221,base_core,164,1,16400,-7.204638,ベース190口。Hotでもまず1口だけ置く。
165,2,1,0,0,0,2,2,2,2,0,2,2,1,2100022220221,base_core,165,1,16500,-7.205847,ベース190口。Hotでもまず1口だけ置く。
166,2,0,2,0,0,2,2,2,2,2,2,2,1,2020022222221,base_core,166,1,16600,-7.206152,ベース190口。Hotでもまず1口だけ置く。
167,2,1,2,0,0,2,1,0,2,0,2,2,1,2120021020221,base_core,167,1,16700,-7.211493,ベース190口。Hotでもまず1口だけ置く。
168,2,1,0,2,2,2,2,2,2,2,2,2,1,2102222222221,base_core,168,1,16800,-7.215190,ベース190口。Hotでもまず1口だけ置く。
169,2,1,2,2,2,2,1,0,2,2,2,2,1,2122221022221,base_core,169,1,16900,-7.220835,ベース190口。Hotでもまず1口だけ置く。
