rank,bucket,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,note
77,hedge,7700,1212101011111,1,2,1,2,1,0,1,0,1,1,1,1,1,追加ヘッジ
78,hedge,7800,1212111100111,1,2,1,2,1,1,1,1,0,0,1,1,1,追加ヘッジ
79,hedge,7900,1212011210111,1,2,1,2,0,1,1,2,1,0,1,1,1,追加ヘッジ
80,hedge,8000,1212120112111,1,2,1,2,1,2,0,1,1,2,1,1,1,追加ヘッジ
81,hedge,8100,1212101102111,1,2,1,2,1,0,1,1,0,2,1,1,1,追加ヘッジ
82,hedge,8200,1212001212111,1,2,1,2,0,0,1,2,1,2,1,1,1,追加ヘッジ
83,hedge,8300,1112111112111,1,1,1,2,1,1,1,1,1,2,1,1,1,追加ヘッジ
84,hedge,8400,1212110210111,1,2,1,2,1,1,0,2,1,0,1,1,1,追加ヘッジ
85,hedge,8500,1212100212111,1,2,1,2,1,0,0,2,1,2,1,1,1,追加ヘッジ
86,hedge,8600,0212121112111,0,2,1,2,1,2,1,1,1,2,1,1,1,追加ヘッジ
87,hedge,8700,0212111210111,0,2,1,2,1,1,1,2,1,0,1,1,1,追加ヘッジ
88,hedge,8800,0212101212111,0,2,1,2,1,0,1,2,1,2,1,1,1,追加ヘッジ
89,hedge,8900,1212121111111,1,2,1,2,1,2,1,1,1,1,1,1,1,追加ヘッジ
90,hedge,9000,1012011112111,1,0,1,2,0,1,1,1,1,2,1,1,1,追加ヘッジ
91,hedge,9100,1212111202111,1,2,1,2,1,1,1,2,0,2,1,1,1,追加ヘッジ
92,hedge,9200,2212111112111,2,2,1,2,1,1,1,1,1,2,1,1,1,追加ヘッジ
93,hedge,9300,1210111012111,1,2,1,0,1,1,1,0,1,2,1,1,1,追加ヘッジ
94,hedge,9400,1212101211111,1,2,1,2,1,0,1,2,1,1,1,1,1,追加ヘッジ
95,hedge,9500,1012110112111,1,0,1,2,1,1,0,1,1,2,1,1,1,追加ヘッジ
96,hedge,9600,1210111110111,1,2,1,0,1,1,1,1,1,0,1,1,1,追加ヘッジ
97,hedge,9700,1210101112111,1,2,1,0,1,0,1,1,1,2,1,1,1,追加ヘッジ
98,hedge,9800,1202111010111,1,2,0,2,1,1,1,0,1,0,1,1,1,追加ヘッジ
99,hedge,9900,1202101012111,1,2,0,2,1,0,1,0,1,2,1,1,1,追加ヘッジ
100,hedge,10000,0012111112111,0,0,1,2,1,1,1,1,1,2,1,1,1,追加ヘッジ
101,hedge,10100,1202101110111,1,2,0,2,1,0,1,1,1,0,1,1,1,追加ヘッジ
102,hedge,10200,1212111012011,1,2,1,2,1,1,1,0,1,2,0,1,1,追加ヘッジ
103,hedge,10300,1212211112111,1,2,1,2,2,1,1,1,1,2,1,1,1,追加ヘッジ
104,hedge,10400,1012111111111,1,0,1,2,1,1,1,1,1,1,1,1,1,追加ヘッジ
105,hedge,10500,1212111110011,1,2,1,2,1,1,1,1,1,0,0,1,1,追加ヘッジ
106,hedge,10600,1212101112011,1,2,1,2,1,0,1,1,1,2,0,1,1,追加ヘッジ
107,hedge,10700,1210111212111,1,2,1,0,1,1,1,2,1,2,1,1,1,追加ヘッジ
108,hedge,10800,1202121112111,1,2,0,2,1,2,1,1,1,2,1,1,1,追加ヘッジ
109,hedge,10900,1212111012101,1,2,1,2,1,1,1,0,1,2,1,0,1,追加ヘッジ
110,hedge,11000,1202111210111,1,2,0,2,1,1,1,2,1,0,1,1,1,追加ヘッジ
111,hedge,11100,1212111110101,1,2,1,2,1,1,1,1,1,0,1,0,1,追加ヘッジ
112,hedge,11200,1202101212111,1,2,0,2,1,0,1,2,1,2,1,1,1,追加ヘッジ
113,hedge,11300,1212112112111,1,2,1,2,1,1,2,1,1,2,1,1,1,追加ヘッジ
114,hedge,11400,1212101112101,1,2,1,2,1,0,1,1,1,2,1,0,1,追加ヘッジ
115,hedge,11500,1212111012110,1,2,1,2,1,1,1,0,1,2,1,1,0,追加ヘッジ
116,hedge,11600,1212111212011,1,2,1,2,1,1,1,2,1,2,0,1,1,追加ヘッジ
117,hedge,11700,1212001010111,1,2,1,2,0,0,1,0,1,0,1,1,1,追加ヘッジ
118,hedge,11800,1212111110110,1,2,1,2,1,1,1,1,1,0,1,1,0,追加ヘッジ
119,hedge,11900,1212101112110,1,2,1,2,1,0,1,1,1,2,1,1,0,追加ヘッジ
120,hedge,12000,1212100010111,1,2,1,2,1,0,0,0,1,0,1,1,1,追加ヘッジ
121,hedge,12100,1002111112111,1,0,0,2,1,1,1,1,1,2,1,1,1,追加ヘッジ
122,hedge,12200,1212111212101,1,2,1,2,1,1,1,2,1,2,1,0,1,追加ヘッジ
123,hedge,12300,0212101010111,0,2,1,2,1,0,1,0,1,0,1,1,1,追加ヘッジ
124,hedge,12400,1212021012111,1,2,1,2,0,2,1,0,1,2,1,1,1,追加ヘッジ
125,hedge,12500,1212111000111,1,2,1,2,1,1,1,0,0,0,1,1,1,追加ヘッジ
126,hedge,12600,1212021110111,1,2,1,2,0,2,1,1,1,0,1,1,1,追加ヘッジ
127,hedge,12700,1212120012111,1,2,1,2,1,2,0,0,1,2,1,1,1,追加ヘッジ
128,hedge,12800,1212101002111,1,2,1,2,1,0,1,0,0,2,1,1,1,追加ヘッジ
129,hedge,12900,1212111212110,1,2,1,2,1,1,1,2,1,2,1,1,0,追加ヘッジ
130,hedge,13000,1112111012111,1,1,1,2,1,1,1,0,1,2,1,1,1,追加ヘッジ
131,hedge,13100,1222111112111,1,2,2,2,1,1,1,1,1,2,1,1,1,追加ヘッジ
132,hedge,13200,1212120110111,1,2,1,2,1,2,0,1,1,0,1,1,1,追加ヘッジ
133,hedge,13300,1212101100111,1,2,1,2,1,0,1,1,0,0,1,1,1,追加ヘッジ
134,hedge,13400,1212001210111,1,2,1,2,0,0,1,2,1,0,1,1,1,追加ヘッジ
135,hedge,13500,1112111110111,1,1,1,2,1,1,1,1,1,0,1,1,1,追加ヘッジ
136,hedge,13600,1112101112111,1,1,1,2,1,0,1,1,1,2,1,1,1,追加ヘッジ
137,hedge,13700,1212100210111,1,2,1,2,1,0,0,2,1,0,1,1,1,追加ヘッジ
138,hedge,13800,0212121012111,0,2,1,2,1,2,1,0,1,2,1,1,1,追加ヘッジ
139,hedge,13900,0212121110111,0,2,1,2,1,2,1,1,1,0,1,1,1,追加ヘッジ
140,hedge,14000,1212121011111,1,2,1,2,1,2,1,0,1,1,1,1,1,追加ヘッジ
141,hedge,14100,1012011012111,1,0,1,2,0,1,1,0,1,2,1,1,1,追加ヘッジ
142,hedge,14200,0212101210111,0,2,1,2,1,0,1,2,1,0,1,1,1,追加ヘッジ
143,hedge,14300,1212121102111,1,2,1,2,1,2,1,1,0,2,1,1,1,追加ヘッジ
144,hedge,14400,2212111012111,2,2,1,2,1,1,1,0,1,2,1,1,1,追加ヘッジ
145,hedge,14500,1212021212111,1,2,1,2,0,2,1,2,1,2,1,1,1,追加ヘッジ
146,hedge,14600,1012011110111,1,0,1,2,0,1,1,1,1,0,1,1,1,追加ヘッジ
147,hedge,14700,1212111200111,1,2,1,2,1,1,1,2,0,0,1,1,1,追加ヘッジ
148,hedge,14800,1012110012111,1,0,1,2,1,1,0,0,1,2,1,1,1,追加ヘッジ
149,hedge,14900,2212111110111,2,2,1,2,1,1,1,1,1,0,1,1,1,追加ヘッジ
150,hedge,15000,1012001112111,1,0,1,2,0,0,1,1,1,2,1,1,1,追加ヘッジ
151,hedge,15100,1212120212111,1,2,1,2,1,2,0,2,1,2,1,1,1,追加ヘッジ
152,hedge,15200,1210111010111,1,2,1,0,1,1,1,0,1,0,1,1,1,追加ヘッジ
153,hedge,15300,1212101202111,1,2,1,2,1,0,1,2,0,2,1,1,1,追加ヘッジ
154,hedge,15400,2212101112111,2,2,1,2,1,0,1,1,1,2,1,1,1,追加ヘッジ
155,hedge,15500,1012110110111,1,0,1,2,1,1,0,1,1,0,1,1,1,追加ヘッジ
156,hedge,15600,1112111212111,1,1,1,2,1,1,1,2,1,2,1,1,1,追加ヘッジ
157,hedge,15700,1210101012111,1,2,1,0,1,0,1,0,1,2,1,1,1,追加ヘッジ
