rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
66,2,0,2,1,2,2,1,2,2,1,2,2,1,2021221221221,direct,66,1,6600,-6.706090,重複なしの直接購入行。1行を1口だけ買う。
67,2,0,2,1,2,2,1,2,2,0,2,2,1,2021221220221,direct,67,1,6700,-6.712945,重複なしの直接購入行。1行を1口だけ買う。
68,2,0,2,0,0,2,1,2,2,1,2,2,1,2020021221221,direct,68,1,6800,-6.718260,重複なしの直接購入行。1行を1口だけ買う。
69,2,0,2,0,0,2,1,2,2,0,2,2,1,2020021220221,direct,69,1,6900,-6.725115,重複なしの直接購入行。1行を1口だけ買う。
70,2,1,0,2,2,2,1,2,2,1,2,2,1,2102221221221,direct,70,1,7000,-6.727297,重複なしの直接購入行。1行を1口だけ買う。
71,2,1,0,2,2,2,1,2,2,0,2,2,1,2102221220221,direct,71,1,7100,-6.734152,重複なしの直接購入行。1行を1口だけ買う。
72,2,0,2,2,2,2,1,2,2,2,2,2,1,2022221222221,direct,72,1,7200,-6.734457,重複なしの直接購入行。1行を1口だけ買う。
73,2,0,2,2,0,2,0,2,2,1,2,2,1,2022020221221,direct,73,1,7300,-6.735788,重複なしの直接購入行。1行を1口だけ買う。
74,2,0,2,2,0,2,0,2,2,0,2,2,1,2022020220221,direct,74,1,7400,-6.742643,重複なしの直接購入行。1行を1口だけ買う。
75,2,0,2,1,2,2,0,2,2,1,2,2,1,2021220221221,direct,75,1,7500,-6.769585,重複なしの直接購入行。1行を1口だけ買う。
76,2,1,0,0,2,2,1,2,2,1,2,2,1,2100221221221,direct,76,1,7600,-6.773265,重複なしの直接購入行。1行を1口だけ買う。
77,2,0,2,1,2,2,0,2,2,0,2,2,1,2021220220221,direct,77,1,7700,-6.776440,重複なしの直接購入行。1行を1口だけ買う。
78,2,1,0,0,2,2,1,2,2,0,2,2,1,2100221220221,direct,78,1,7800,-6.780120,重複なしの直接購入行。1行を1口だけ買う。
79,2,0,2,0,2,2,1,2,2,2,2,2,1,2020221222221,direct,79,1,7900,-6.780425,重複なしの直接購入行。1行を1口だけ買う。
80,2,0,2,0,0,2,0,2,2,1,2,2,1,2020020221221,direct,80,1,8000,-6.781755,重複なしの直接購入行。1行を1口だけ買う。
81,2,0,2,0,0,2,0,2,2,0,2,2,1,2020020220221,direct,81,1,8100,-6.788610,重複なしの直接購入行。1行を1口だけ買う。
82,2,1,0,2,2,2,0,2,2,1,2,2,1,2102220221221,direct,82,1,8200,-6.790793,重複なしの直接購入行。1行を1口だけ買う。
83,2,1,2,1,0,2,1,2,2,2,2,2,1,2121021222221,direct,83,1,8300,-6.792670,重複なしの直接購入行。1行を1口だけ買う。
84,2,1,0,2,2,2,0,2,2,0,2,2,1,2102220220221,direct,84,1,8400,-6.797648,重複なしの直接購入行。1行を1口だけ買う。
85,2,0,2,2,2,2,0,2,2,2,2,2,1,2022220222221,direct,85,1,8500,-6.797953,重複なしの直接購入行。1行を1口だけ買う。
86,2,0,2,2,0,2,2,2,2,1,2,2,1,2022022221221,direct,86,1,8600,-6.826362,重複なしの直接購入行。1行を1口だけ買う。
87,2,0,2,2,0,2,2,2,2,0,2,2,1,2022022220221,direct,87,1,8700,-6.833217,重複なしの直接購入行。1行を1口だけ買う。
88,2,1,0,0,2,2,0,2,2,1,2,2,1,2100220221221,direct,88,1,8800,-6.836760,重複なしの直接購入行。1行を1口だけ買う。
89,2,1,0,0,2,2,0,2,2,0,2,2,1,2100220220221,direct,89,1,8900,-6.843615,重複なしの直接購入行。1行を1口だけ買う。
90,2,0,2,0,2,2,0,2,2,2,2,2,1,2020220222221,direct,90,1,9000,-6.843920,重複なしの直接購入行。1行を1口だけ買う。
91,2,1,2,1,0,2,0,2,2,2,2,2,1,2121020222221,direct,91,1,9100,-6.856165,重複なしの直接購入行。1行を1口だけ買う。
92,2,0,2,1,2,2,2,2,2,1,2,2,1,2021222221221,direct,92,1,9200,-6.860159,重複なしの直接購入行。1行を1口だけ買う。
93,2,0,2,1,2,2,2,2,2,0,2,2,1,2021222220221,direct,93,1,9300,-6.867014,重複なしの直接購入行。1行を1口だけ買う。
94,2,0,2,0,0,2,2,2,2,1,2,2,1,2020022221221,direct,94,1,9400,-6.872329,重複なしの直接購入行。1行を1口だけ買う。
95,2,0,2,0,0,2,2,2,2,0,2,2,1,2020022220221,direct,95,1,9500,-6.879184,重複なしの直接購入行。1行を1口だけ買う。
96,2,1,0,2,2,2,2,2,2,1,2,2,1,2102222221221,direct,96,1,9600,-6.881367,重複なしの直接購入行。1行を1口だけ買う。
97,2,1,2,2,2,2,1,0,2,1,2,2,1,2122221021221,direct,97,1,9700,-6.887012,重複なしの直接購入行。1行を1口だけ買う。
98,2,1,0,2,2,2,2,2,2,0,2,2,1,2102222220221,direct,98,1,9800,-6.888222,重複なしの直接購入行。1行を1口だけ買う。
99,2,0,2,2,2,2,2,2,2,2,2,2,1,2022222222221,direct,99,1,9900,-6.888527,重複なしの直接購入行。1行を1口だけ買う。
100,2,1,2,2,2,2,1,0,2,0,2,2,1,2122221020221,direct,100,1,10000,-6.893867,重複なしの直接購入行。1行を1口だけ買う。
101,2,1,0,0,2,2,2,2,2,1,2,2,1,2100222221221,direct,101,1,10100,-6.927334,重複なしの直接購入行。1行を1口だけ買う。
102,2,1,2,0,2,2,1,0,2,1,2,2,1,2120221021221,direct,102,1,10200,-6.932980,重複なしの直接購入行。1行を1口だけ買う。
103,2,1,0,0,2,2,2,2,2,0,2,2,1,2100222220221,direct,103,1,10300,-6.934189,重複なしの直接購入行。1行を1口だけ買う。
104,2,0,2,0,2,2,2,2,2,2,2,2,1,2020222222221,direct,104,1,10400,-6.934494,重複なしの直接購入行。1行を1口だけ買う。
105,2,1,2,0,2,2,1,0,2,0,2,2,1,2120221020221,direct,105,1,10500,-6.939835,重複なしの直接購入行。1行を1口だけ買う。
106,2,1,2,1,0,2,2,2,2,2,2,2,1,2121022222221,direct,106,1,10600,-6.946739,重複なしの直接購入行。1行を1口だけ買う。
107,2,1,2,2,2,2,0,0,2,1,2,2,1,2122220021221,direct,107,1,10700,-6.950508,重複なしの直接購入行。1行を1口だけ買う。
108,2,1,2,2,2,2,0,0,2,0,2,2,1,2122220020221,direct,108,1,10800,-6.957363,重複なしの直接購入行。1行を1口だけ買う。
109,2,0,2,1,0,2,1,2,2,1,2,2,1,2021021221221,direct,109,1,10900,-6.977748,重複なしの直接購入行。1行を1口だけ買う。
110,2,0,2,1,0,2,1,2,2,0,2,2,1,2021021220221,direct,110,1,11000,-6.984603,重複なしの直接購入行。1行を1口だけ買う。
111,2,1,2,0,2,2,0,0,2,1,2,2,1,2120220021221,direct,111,1,11100,-6.996475,重複なしの直接購入行。1行を1口だけ買う。
112,2,1,0,2,0,2,1,2,2,1,2,2,1,2102021221221,direct,112,1,11200,-6.998955,重複なしの直接購入行。1行を1口だけ買う。
113,2,1,2,0,2,2,0,0,2,0,2,2,1,2120220020221,direct,113,1,11300,-7.003330,重複なしの直接購入行。1行を1口だけ買う。
114,2,1,0,2,0,2,1,2,2,0,2,2,1,2102021220221,direct,114,1,11400,-7.005810,重複なしの直接購入行。1行を1口だけ買う。
115,2,0,2,2,0,2,1,2,2,2,2,2,1,2022021222221,direct,115,1,11500,-7.006115,重複なしの直接購入行。1行を1口だけ買う。
116,2,1,0,1,2,2,1,2,2,1,2,2,1,2101221221221,direct,116,1,11600,-7.032753,重複なしの直接購入行。1行を1口だけ買う。
117,2,1,2,2,2,2,1,2,2,1,2,2,0,2122221221220,direct,117,1,11700,-7.035217,重複なしの直接購入行。1行を1口だけ買う。
118,2,1,0,1,2,2,1,2,2,0,2,2,1,2101221220221,direct,118,1,11800,-7.039608,重複なしの直接購入行。1行を1口だけ買う。
119,2,0,2,1,2,2,1,2,2,2,2,2,1,2021221222221,direct,119,1,11900,-7.039913,重複なしの直接購入行。1行を1口だけ買う。
120,2,1,2,2,2,2,2,0,2,1,2,2,1,2122222021221,direct,120,1,12000,-7.041082,重複なしの直接購入行。1行を1口だけ買う。
121,2,0,2,1,0,2,0,2,2,1,2,2,1,2021020221221,direct,121,1,12100,-7.041243,重複なしの直接購入行。1行を1口だけ買う。
122,2,1,2,2,2,2,1,2,2,0,2,2,0,2122221220220,direct,122,1,12200,-7.042071,重複なしの直接購入行。1行を1口だけ買う。
123,2,1,0,0,0,2,1,2,2,1,2,2,1,2100021221221,direct,123,1,12300,-7.044923,重複なしの直接購入行。1行を1口だけ買う。
124,2,1,2,2,2,2,2,0,2,0,2,2,1,2122222020221,direct,124,1,12400,-7.047937,重複なしの直接購入行。1行を1口だけ買う。
125,2,0,2,1,0,2,0,2,2,0,2,2,1,2021020220221,direct,125,1,12500,-7.048098,重複なしの直接購入行。1行を1口だけ買う。
126,2,1,0,0,0,2,1,2,2,0,2,2,1,2100021220221,direct,126,1,12600,-7.051778,重複なしの直接購入行。1行を1口だけ買う。
127,2,0,2,0,0,2,1,2,2,2,2,2,1,2020021222221,direct,127,1,12700,-7.052083,重複なしの直接購入行。1行を1口だけ買う。
128,2,1,0,2,2,2,1,2,2,2,2,2,1,2102221222221,direct,128,1,12800,-7.061120,重複なしの直接購入行。1行を1口だけ買う。
129,2,1,0,2,0,2,0,2,2,1,2,2,1,2102020221221,direct,129,1,12900,-7.062451,重複なしの直接購入行。1行を1口だけ買う。
130,2,1,0,2,0,2,0,2,2,0,2,2,1,2102020220221,direct,130,1,13000,-7.069306,重複なしの直接購入行。1行を1口だけ買う。
131,2,0,2,2,0,2,0,2,2,2,2,2,1,2022020222221,direct,131,1,13100,-7.069611,重複なしの直接購入行。1行を1口だけ買う。
132,2,1,2,0,2,2,1,2,2,1,2,2,0,2120221221220,direct,132,1,13200,-7.081184,重複なしの直接購入行。1行を1口だけ買う。
133,2,1,2,0,2,2,2,0,2,1,2,2,1,2120222021221,direct,133,1,13300,-7.087049,重複なしの直接購入行。1行を1口だけ買う。
134,2,1,2,0,2,2,1,2,2,0,2,2,0,2120221220220,direct,134,1,13400,-7.088039,重複なしの直接購入行。1行を1口だけ買う。
135,2,1,2,0,2,2,2,0,2,0,2,2,1,2120222020221,direct,135,1,13500,-7.093904,重複なしの直接購入行。1行を1口だけ買う。
136,2,1,0,1,2,2,0,2,2,1,2,2,1,2101220221221,direct,136,1,13600,-7.096248,重複なしの直接購入行。1行を1口だけ買う。
137,2,1,2,2,2,2,0,2,2,1,2,2,0,2122220221220,direct,137,1,13700,-7.098712,重複なしの直接購入行。1行を1口だけ買う。
138,2,1,0,1,2,2,0,2,2,0,2,2,1,2101220220221,direct,138,1,13800,-7.103103,重複なしの直接購入行。1行を1口だけ買う。
139,2,0,2,1,2,2,0,2,2,2,2,2,1,2021220222221,direct,139,1,13900,-7.103408,重複なしの直接購入行。1行を1口だけ買う。
140,2,1,2,2,2,2,0,2,2,0,2,2,0,2122220220220,direct,140,1,14000,-7.105567,重複なしの直接購入行。1行を1口だけ買う。
141,2,1,0,0,2,2,1,2,2,2,2,2,1,2100221222221,direct,141,1,14100,-7.107088,重複なしの直接購入行。1行を1口だけ買う。
142,2,1,0,0,0,2,0,2,2,1,2,2,1,2100020221221,direct,142,1,14200,-7.108418,重複なしの直接購入行。1行を1口だけ買う。
143,2,1,0,0,0,2,0,2,2,0,2,2,1,2100020220221,direct,143,1,14300,-7.115273,重複なしの直接購入行。1行を1口だけ買う。
144,2,0,2,0,0,2,0,2,2,2,2,2,1,2020020222221,direct,144,1,14400,-7.115578,重複なしの直接購入行。1行を1口だけ買う。
145,2,1,0,2,2,2,0,2,2,2,2,2,1,2102220222221,direct,145,1,14500,-7.124616,重複なしの直接購入行。1行を1口だけ買う。
146,2,0,2,1,0,2,2,2,2,1,2,2,1,2021022221221,direct,146,1,14600,-7.131817,重複なしの直接購入行。1行を1口だけ買う。
147,2,0,2,1,0,2,2,2,2,0,2,2,1,2021022220221,direct,147,1,14700,-7.138672,重複なしの直接購入行。1行を1口だけ買う。
148,2,1,2,0,2,2,0,2,2,1,2,2,0,2120220221220,direct,148,1,14800,-7.144679,重複なしの直接購入行。1行を1口だけ買う。
149,2,1,2,0,2,2,0,2,2,0,2,2,0,2120220220220,direct,149,1,14900,-7.151534,重複なしの直接購入行。1行を1口だけ買う。
150,2,1,0,2,0,2,2,2,2,1,2,2,1,2102022221221,direct,150,1,15000,-7.153025,重複なしの直接購入行。1行を1口だけ買う。
151,2,1,2,2,0,2,1,0,2,1,2,2,1,2122021021221,direct,151,1,15100,-7.158670,重複なしの直接購入行。1行を1口だけ買う。
152,2,1,0,2,0,2,2,2,2,0,2,2,1,2102022220221,direct,152,1,15200,-7.159880,重複なしの直接購入行。1行を1口だけ買う。
153,2,0,2,2,0,2,2,2,2,2,2,2,1,2022022222221,direct,153,1,15300,-7.160185,重複なしの直接購入行。1行を1口だけ買う。
154,2,1,2,2,0,2,1,0,2,0,2,2,1,2122021020221,direct,154,1,15400,-7.165525,重複なしの直接購入行。1行を1口だけ買う。
155,2,1,0,0,2,2,0,2,2,2,2,2,1,2100220222221,direct,155,1,15500,-7.170583,重複なしの直接購入行。1行を1口だけ買う。
156,2,1,0,1,2,2,2,2,2,1,2,2,1,2101222221221,direct,156,1,15600,-7.186822,重複なしの直接購入行。1行を1口だけ買う。
157,2,1,2,2,2,2,2,2,2,1,2,2,0,2122222221220,direct,157,1,15700,-7.189286,重複なしの直接購入行。1行を1口だけ買う。
158,2,1,2,1,2,2,1,0,2,1,2,2,1,2121221021221,direct,158,1,15800,-7.192468,重複なしの直接購入行。1行を1口だけ買う。
159,2,1,0,1,2,2,2,2,2,0,2,2,1,2101222220221,direct,159,1,15900,-7.193677,重複なしの直接購入行。1行を1口だけ買う。
160,2,0,2,1,2,2,2,2,2,2,2,2,1,2021222222221,direct,160,1,16000,-7.193982,重複なしの直接購入行。1行を1口だけ買う。
161,2,1,2,2,2,2,2,2,2,0,2,2,0,2122222220220,direct,161,1,16100,-7.196141,重複なしの直接購入行。1行を1口だけ買う。
162,2,1,0,0,0,2,2,2,2,1,2,2,1,2100022221221,direct,162,1,16200,-7.198992,重複なしの直接購入行。1行を1口だけ買う。
163,2,1,2,1,2,2,1,0,2,0,2,2,1,2121221020221,direct,163,1,16300,-7.199323,重複なしの直接購入行。1行を1口だけ買う。
164,2,1,2,0,0,2,1,0,2,1,2,2,1,2120021021221,direct,164,1,16400,-7.204638,重複なしの直接購入行。1行を1口だけ買う。
165,2,1,0,0,0,2,2,2,2,0,2,2,1,2100022220221,direct,165,1,16500,-7.205847,重複なしの直接購入行。1行を1口だけ買う。
166,2,0,2,0,0,2,2,2,2,2,2,2,1,2020022222221,direct,166,1,16600,-7.206152,重複なしの直接購入行。1行を1口だけ買う。
167,2,1,2,0,0,2,1,0,2,0,2,2,1,2120021020221,direct,167,1,16700,-7.211493,重複なしの直接購入行。1行を1口だけ買う。
168,2,1,0,2,2,2,2,2,2,2,2,2,1,2102222222221,direct,168,1,16800,-7.215190,重複なしの直接購入行。1行を1口だけ買う。
169,2,1,2,2,2,2,1,0,2,2,2,2,1,2122221022221,direct,169,1,16900,-7.220835,重複なしの直接購入行。1行を1口だけ買う。
170,2,1,2,2,0,2,0,0,2,1,2,2,1,2122020021221,direct,170,1,17000,-7.222166,重複なしの直接購入行。1行を1口だけ買う。
171,2,1,2,2,0,2,0,0,2,0,2,2,1,2122020020221,direct,171,1,17100,-7.229021,重複なしの直接購入行。1行を1口だけ買う。
172,2,1,2,0,2,2,2,2,2,1,2,2,0,2120222221220,direct,172,1,17200,-7.235253,重複なしの直接購入行。1行を1口だけ買う。
173,2,1,2,0,2,2,2,2,2,0,2,2,0,2120222220220,direct,173,1,17300,-7.242108,重複なしの直接購入行。1行を1口だけ買う。
174,2,0,0,2,2,2,1,2,2,1,2,2,1,2002221221221,direct,174,1,17400,-7.246198,重複なしの直接購入行。1行を1口だけ買う。
175,2,0,0,2,2,2,1,2,2,0,2,2,1,2002221220221,direct,175,1,17500,-7.253053,重複なしの直接購入行。1行を1口だけ買う。
176,2,1,2,1,2,2,0,0,2,1,2,2,1,2121220021221,direct,176,1,17600,-7.255963,重複なしの直接購入行。1行を1口だけ買う。
177,2,1,0,0,2,2,2,2,2,2,2,2,1,2100222222221,direct,177,1,17700,-7.261157,重複なしの直接購入行。1行を1口だけ買う。
178,2,1,2,1,2,2,0,0,2,0,2,2,1,2121220020221,direct,178,1,17800,-7.262818,重複なしの直接購入行。1行を1口だけ買う。
179,2,1,2,0,2,2,1,0,2,2,2,2,1,2120221022221,direct,179,1,17900,-7.266803,重複なしの直接購入行。1行を1口だけ買う。
180,2,1,2,0,0,2,0,0,2,1,2,2,1,2120020021221,direct,180,1,18000,-7.268133,重複なしの直接購入行。1行を1口だけ買う。
